,index,brand,colors,name,prices.isSale,MedianPrice
450,8841,Style & Co.,Blue,Style & Co Radleyy Women  Open Toe Canvas Blue Wedge Heel,FALSE,20.98
451,8842,Style & Co.,Blue,Style & Co Radleyy Women  Open Toe Canvas Blue Wedge Heel,TRUE,25.99
452,8843,Style & Co.,Blue,Style & Co Radleyy Women  Open Toe Canvas Blue Wedge Heel,FALSE,35.39
453,8954,Unique Bargains,Black,Unique Bargains Women's Textured Vamp Chunky Heel Ankle Strap Sandals Black (size 9),FALSE,49.99
454,8955,Unique Bargains,Black,Unique Bargains Women's Textured Vamp Chunky Heel Ankle Strap Sandals Black (size 9),TRUE,24.91
455,8958,Marc Fisher,Black,Marc Fisher Stanley   Open Toe Leather  Platform Sandal,TRUE,19.99
456,8959,Marc Fisher,Black,Marc Fisher Stanley   Open Toe Leather  Platform Sandal,FALSE,89.0
457,8960,Marc Fisher,Black,Marc Fisher Stanley   Open Toe Leather  Platform Sandal,TRUE,25.99
458,8974,Easy Spirit,Brown,Easy Spirit Vicki  N/s Round Toe Leather  Heels,FALSE,29.99
462,9215,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,29.99
463,9216,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,FALSE,69.0
464,9217,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,27.99
465,9218,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,10.99
466,9219,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,38.98
467,9220,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,34.99
468,9221,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,13.99
469,9222,Easy Spirit,Blue,Easy Spirit Delilah  Ww Round Toe Synthetic  Walking Shoe,TRUE,36.99
470,9270,Style & Co.,Black,Style & Co. 9506 New Womens Black Poplin Tummy Control Capri Pants Plus 16w Bhfo,FALSE,10.5
471,9271,Style & Co.,Black,Style & Co. 9506 New Womens Black Poplin Tummy Control Capri Pants Plus 16w Bhfo,FALSE,4.99
472,9315,Easy Spirit,Blue,Easy Spirit Joyz   Open Toe Patent Leather  Platform Sandal,TRUE,46.99
473,9316,Easy Spirit,Blue,Easy Spirit Joyz   Open Toe Patent Leather  Platform Sandal,FALSE,79.0
474,9352,Style & Co.,Black,Style & Co Ulani Women  Open Toe Synthetic Black Sandals,FALSE,49.0
475,9353,Style & Co.,Black,Style & Co Ulani Women  Open Toe Synthetic Black Sandals,TRUE,16.99
477,9361,Nine West,Black,Nine West Thalassa Women  Round Toe Leather Black Ankle Boot,TRUE,49.98
478,9362,Nine West,Black,Nine West Thalassa Women  Round Toe Leather Black Ankle Boot,TRUE,37.99
479,9482,New Balance,White,New Balance Ww496 Women Us 8.5 White Walking Shoe Pre Owned Blemish 1294,FALSE,2.99
480,9499,ELLIE SHOES,Black,Womens Ellie 620-amada-l Animal Print 5 Inch Heel Pumps Size 9 Clearance Shoes,FALSE,41.99
485,9724,Vince Camuto,Brown,Vince Camuto Kadia   Round Toe Leather  Knee High Boot,TRUE,59.99
487,9874,Alfani,Black,Alfani Zurry Women  Pointed Toe Synthetic Black Flats,TRUE,23.99
488,9875,Alfani,Black,Alfani Zurry Women  Pointed Toe Synthetic Black Flats,FALSE,59.0
489,9876,Alfani,Black,Alfani Zurry Women  Pointed Toe Synthetic Black Flats,FALSE,23.99
490,9907,Marc Fisher,Brown,Marc Fisher Alining 2 Women  Open Toe Synthetic  Slides Sandal,TRUE,27.99
491,9908,Marc Fisher,Brown,Marc Fisher Alining 2 Women  Open Toe Synthetic  Slides Sandal,FALSE,59.0
492,9940,New Balance,Black,"New Balance 9534 Womens Black Mesh Walking Shoes Athletic 11 Wide (c,d,w) Bhfo",FALSE,10.5
493,9978,Nine West,Brown,Nine West Bocce Women  Open Toe Leather  Gladiator Sandal,FALSE,85.0
